Country,,Children per Women,Fertility,Population,,Year
Syria,,4.76,61,11.7,,1992
Taiwan,,1.76,17,9.26,,1992
Tajikistan,,4.84,52.7,9.78,,1992
Tanzania,,6.01,0,10.7,,1992
Thailand,,1.96,0,10.1,,1992
Timor-Leste,,5.87,0,8.82,,1992
Togo,,5.97,0,10.9,,1992
Tokelau,,,0,,,1992
Tonga,,4.55,0,10.2,,1992
Trinidad and Tobago,,2.13,50.7,9.27,,1992
Tunisia,,2.91,18.2,10.2,,1992
Turkey,,2.87,0,10.3,,1992
Turkmenistan,,3.9,0,9.97,,1992
Turks and Caicos Islands,,,0,,,1992
Tuvalu,,,25.5,,,1992
Uganda,,7.06,0,10.5,,1992
Ukraine,,1.58,58.3,6.63,,1992
United Arab Emirates,,3.83,0,9.43,,1992
United Kingdom,,1.78,30.9,5.84,,1992
United States,,2.02,59,6.58,,1992
Uruguay,,2.47,0,8.18,,1992
Uzbekistan,,3.85,67.3,9.85,,1992
Vanuatu,,4.81,0,10.2,,1992
Venezuela,,3.22,0,10.2,,1992
Vietnam,,3.09,38.6,10.1,,1992
Virgin Islands (U.S.),,2.71,0,8.18,,1992
Wallis et Futuna,,,0,,,1992
Western Sahara,,3.93,,10,,1992
Yemen,,8.05,0,9.84,,1992
Zambia,,6.28,0,11.2,,1992
Zimbabwe,,4.69,0,11.8,,1992
Afghanistan,,7.57,0,10.5,,1993
Albania,,2.67,21.6,9.27,,1993
Algeria,,3.7,0,11.5,,1993
American Samoa,,,61.9,,,1993
Andorra,,,0,,,1993
Angola,,6.99,0,10.7,,1993
Anguilla,,,52.1,,,1993
Antigua and Barbuda,,2.17,73.8,8.59,,1993
Argentina,,2.82,62.6,9.1,,1993
Armenia,,2.18,79.9,7.67,,1993
Aruba,,2.11,47.1,6.24,,1993
Australia,,1.84,20.7,7.01,,1993
Austria,,1.47,18.2,5.52,,1993
Azerbaijan,,2.71,39.8,8.42,,1993
Bahamas,,2.57,0,8.99,,1993
Bahrain,,3.21,20.8,8.7,,1993
Bangladesh,,3.88,0,11.1,,1993
Barbados,,1.73,0,7.54,,1993
Belarus,,1.55,43.4,6.71,,1993
Belgium,,1.61,10.2,5.81,,1993
Belize,,4.2,0,10.6,,1993
Benin,,6.45,123,10.2,,1993
Bermuda,,,0,,,1993
Bhutan,,4.8,0,10.6,,1993
Bolivia,,4.66,0,10.2,,1993
Bosnia and Herzegovina,,1.71,0,7.38,,1993
Botswana,,4.06,0,11.5,,1993
Brazil,,2.54,0,9.95,,1993
British Virgin Islands,,,37.7,,,1993
Brunei,,3.06,0,9.51,,1993
Bulgaria,,1.42,59.2,7.06,,1993
Burkina Faso,,6.88,0,10.6,,1993
Burundi,,7.34,0,9.89,,1993
Cambodia,,4.87,0,7.53,,1993
Cameroon,,6.07,0,10.4,,1993
Canada,,1.66,0,6.52,,1993
Cape Verde,,4.7,0,9.64,,1993
Cayman Islands,,,62.3,,,1993
Central African Republic,,5.65,0,10.2,,1993
Chad,,7.42,0,10.2,,1993
Channel Islands,,1.44,0,5.39,,1993
Chile,,2.36,65.9,8.68,,1993
China,,1.74,14.9,8.39,,1993
Colombia,,2.73,0,9.99,,1993
Comoros,,5.26,0,10.4,,1993
"Congo, Dem. Rep.",,7.19,0,10.1,,1993
"Congo, Rep.",,5.17,0,11.2,,1993
Cook Is,,,0,,,1993
Costa Rica,,2.9,89.9,9.08,,1993
Cote d'Ivoire,,6.14,0,10.8,,1993
Croatia,,1.52,19.9,6.45,,1993
Cuba,,1.65,0,7.43,,1993
Curaçao,,,,7.03,,1993
Cyprus,,2.21,15,7.42,,1993
Czech Republic,,1.48,31.6,8.29,,1993
Denmark,,1.81,8.7,6.15,,1993
Djibouti,,5.55,0,11.1,,1993
Dominica,,,0,,,1993
Dominican Republic,,3.2,0,10.7,,1993
Ecuador,,3.44,0,10.4,,1993
Egypt,,3.87,0,9.95,,1993
El Salvador,,3.66,115,10.4,,1993
Equatorial Guinea,,5.98,0,9.06,,1993
Eritrea,,6.03,0,9.93,,1993
Estonia,,1.51,40.6,6.3,,1993
Eswatini,,4.96,0,11.4,,1993
Ethiopia,,7.05,0,10.1,,1993
Faeroe Islands,,,31.1,,,1993
Falkland Is (Malvinas),,,0,,,1993
Fiji,,3.31,51.5,10.4,,1993
Finland,,1.85,10.1,6.03,,1993
France,,1.72,7.3,6.28,,1993
French Guiana,,4.04,0,9.11,,1993
French Polynesia,,2.95,0,9.49,,1993
Gabon,,5.09,0,9.77,,1993
Gambia,,6.05,0,9.65,,1993
Georgia,,1.95,0,7.35,,1993
Germany,,1.31,13.8,4.97,,1993
Ghana,,5.24,0,10.7,,1993
Gibraltar,,,0,,,1993
Greece,,1.38,14.3,7.29,,1993
Greenland,,2.53,81,,,1993
Grenada,,3.25,0,8.4,,1993
Guadeloupe,,2.08,0,8.53,,1993
Guam,,2.88,0,8.32,,1993
Guatemala,,5.17,122,11.2,,1993
Guinea,,6.44,0,9.88,,1993
Guinea-Bissau,,6.38,0,10.1,,1993
Guyana,,3.07,0,10.8,,1993
Haiti,,5,0,10.2,,1993
Honduras,,4.75,0,11.1,,1993
"Hong Kong, China",,1.2,6.4,6.53,,1993
Hungary,,1.63,32.5,7.82,,1993
Iceland,,2.15,23.2,7.8,,1993
India,,3.72,0,10,,1993
Indonesia,,2.76,0,10.7,,1993
Iran,,3.5,66.5,11.2,,1993
Iraq,,5.52,0,11.5,,1993
Ireland,,1.9,15.4,9.39,,1993
Israel,,2.93,19.1,9.04,,1993
Italy,,1.25,7.26,6.2,,1993
Jamaica,,2.8,0,9.8,,1993
Japan,,1.44,4,6.82,,1993
Jordan,,4.75,0,11.4,,1993
Kazakhstan,,2.36,55,8.51,,1993
Kenya,,5.54,0,11.5,,1993
Kiribati,,4.45,0,9.05,,1993
Kuwait,,2.66,28.4,8.95,,1993
Kyrgyz Republic,,3.44,53.3,9.37,,1993
Lao,,5.59,0,10.5,,1993
Latvia,,1.46,33.7,5.97,,1993
Lebanon,,2.69,0,10.7,,1993
Lesotho,,4.62,0,11.4,,1993
Liberia,,6.21,0,10.6,,1993
Libya,,3.86,0,12.3,,1993
Liechtenstein,,,9.3,,,1993
Lithuania,,1.71,41.5,6.58,,1993
Luxembourg,,1.69,11.6,5.33,,1993
"Macao, China",,1.31,7.1,6.26,,1993
Madagascar,,6.03,0,10.7,,1993
Malawi,,6.5,0,10.3,,1993
Malaysia,,3.37,19,9.91,,1993
Maldives,,4.64,0,10.3,,1993
Mali,,7.09,0,10.8,,1993
Malta,,1.99,11,7.31,,1993
Marshall Islands,,,0,,,1993
Martinique,,1.93,0,7.75,,1993
Mauritania,,5.83,0,10.8,,1993
Mauritius,,2.18,0,9.4,,1993
Mayotte,,5.15,0,11.2,,1993
Mexico,,3.1,0,10.9,,1993
"Micronesia, Fed. Sts.",,4.72,0,11.1,,1993
Moldova,,1.99,0,7.81,,1993
Mongolia,,2.94,0,10.8,,1993
Montenegro,,2,0,7.59,,1993
Montserrat,,,32.2,,,1993
Morocco,,3.45,0,10.6,,1993
Mozambique,,6.02,173,10.5,,1993
Myanmar,,3.09,31.9,10.8,,1993
Namibia,,4.72,0,11,,1993
Nauru,,,72.4,,,1993
Nepal,,4.83,0,10.3,,1993
Netherlands,,1.57,7,5.94,,1993
Netherlands Antilles,,2.23,0,,,1993
New Caledonia,,2.83,0,9.75,,1993
New Zealand,,2.13,31.4,7.34,,1993
Nicaragua,,3.94,0,11.2,,1993
Niger,,7.73,0,10.3,,1993
Nigeria,,6.3,0,10.7,,1993
Niue,,,35,,,1993
North Korea,,2.16,0,7.71,,1993
North Macedonia,,2.03,45.5,8.03,,1993
Northern Mariana Islands,,,88.1,,,1993
Norway,,1.87,14.4,6.17,,1993
Oman,,5.72,0,10.6,,1993
Pakistan,,5.48,0,10.1,,1993
Palau,,,54.8,,,1993
Palestine,,6.4,0,10.7,,1993
Panama,,2.88,0,10.3,,1993
Papua New Guinea,,4.68,77,10.8,,1993
Paraguay,,4.2,0,10.1,,1993
Peru,,3.41,0,10.3,,1993
Philippines,,4.06,0,10.5,,1993
Poland,,1.82,26,7.77,,1993
Portugal,,1.46,20.3,7.65,,1993
Puerto Rico,,2.12,74.6,8.69,,1993
Qatar,,3.65,38.8,7.95,,1993
Reunion,,2.36,38.3,9.09,,1993
Romania,,1.43,45.1,8.32,,1993
Russia,,1.4,48,6.62,,1993
Rwanda,,6.32,0,11.5,,1993
Samoa,,4.82,0,10.7,,1993
San Marino,,,3.7,,,1993
Sao Tome and Principe,,5.6,0,11.9,,1993
Saudi Arabia,,5.2,61,10.2,,1993
Senegal,,6.11,0,10.9,,1993
Serbia,,1.92,37,7.67,,1993
Seychelles,,2.42,68,10.2,,1993
Sierra Leone,,6.65,0,10.2,,1993
Singapore,,1.71,0,6.94,,1993
Slovak Republic,,1.72,38.6,8.46,,1993
Slovenia,,1.29,14.3,7.07,,1993
Solomon Islands,,5.33,0,11.7,,1993
Somalia,,7.61,0,10,,1993
South Africa,,3.2,0,10.1,,1993
South Korea,,1.64,0,8.79,,1993
South Sudan,,6.6,,10.3,,1993
Spain,,1.23,8.06,7.91,,1993
Sri Lanka,,2.32,32.1,9.91,,1993
St. Helena,,,0,,,1993
St. Kitts and Nevis,,,72.6,,,1993
St. Lucia,,3,87.7,9.59,,1993
St. Vincent and the Grenadines,,2.76,94.3,11,,1993
Sudan,,5.9,0,10.8,,1993
Suriname,,3.02,0,8.79,,1993
Sweden,,1.88,9.6,5.69,,1993
Switzerland,,1.53,5.8,5.48,,1993
Syria,,4.63,0,11.8,,1993
Taiwan,,1.76,17,9.42,,1993
Tajikistan,,4.71,55.5,9.86,,1993
Tanzania,,5.95,130,10.7,,1993
Thailand,,1.91,0,9.98,,1993
Timor-Leste,,6.13,0,8.32,,1993
Togo,,5.86,0,11,,1993
Tokelau,,,82.5,,,1993
Tonga,,4.5,0,10.3,,1993
Trinidad and Tobago,,2.04,44.4,9.36,,1993
Tunisia,,2.75,15.5,10.3,,1993
Turkey,,2.81,0,10.3,,1993
Turkmenistan,,3.71,0,10,,1993
Turks and Caicos Islands,,,0,,,1993
Tuvalu,,,41.5,,,1993
Uganda,,7.04,0,10.5,,1993
Ukraine,,1.49,56.5,6.68,,1993
United Arab Emirates,,3.62,0,9.31,,1993
United Kingdom,,1.77,28.9,5.71,,1993
United States,,2,58.5,6.57,,1993
Uruguay,,2.44,0,8.18,,1993
Uzbekistan,,3.7,64.3,9.86,,1993
Vanuatu,,4.78,0,10.3,,1993
Venezuela,,3.15,0,10.2,,1993
Vietnam,,2.9,0,10,,1993
Virgin Islands (U.S.),,2.6,0,7.72,,1993
Wallis et Futuna,,,0,,,1993
Western Sahara,,3.82,,10.2,,1993
Yemen,,7.8,0,9.86,,1993
Zambia,,6.23,156,11.3,,1993
Zimbabwe,,4.56,0,12,,1993
Afghanistan,,7.61,0,10.5,,1994
Albania,,2.59,24.6,9.28,,1994
Algeria,,3.45,0,11.6,,1994
American Samoa,,,55.7,,,1994
Andorra,,,0,,,1994
Angola,,6.92,0,10.6,,1994
Anguilla,,,37.1,,,1994
Antigua and Barbuda,,2.21,84.7,8.47,,1994
Argentina,,2.76,61.7,9.13,,1994
Armenia,,1.8,66.6,7.87,,1994
Aruba,,2.06,50.8,6.1,,1994
Australia,,1.82,20.4,6.84,,1994
Austria,,1.42,17.2,5.45,,1994
Azerbaijan,,2.58,39,8.47,,1994
Bahamas,,2.51,65.1,8.88,,1994
Bahrain,,3.1,21.7,8.48,,1994
Bangladesh,,3.73,0,11.2,,1994
Barbados,,1.73,0,7.27,,1994
Belarus,,1.47,39.9,6.8,,1994
Belgium,,1.61,9.82,5.72,,1994
Belize,,4.11,0,10.7,,1994
Benin,,6.36,0,10.2,,1994
Bermuda,,,33.7,,,1994
Bhutan,,4.6,0,10.7,,1994
Bolivia,,4.58,0,10.2,,1994
Bosnia and Herzegovina,,1.71,0,7.19,,1994
Botswana,,3.95,0,11.5,,1994
Brazil,,2.5,0,10,,1994
British Virgin Islands,,,0,,,1994
Brunei,,2.93,0,9.4,,1994
Bulgaria,,1.34,52.2,7.01,,1994
Burkina Faso,,6.84,0,10.7,,1994
Burundi,,7.29,60,10.2,,1994
Cambodia,,4.69,0,7.66,,1994
Cameroon,,5.98,0,10.5,,1994
Canada,,1.64,0,6.51,,1994
Cape Verde,,4.54,0,9.8,,1994
Cayman Islands,,,0,,,1994
Central African Republic,,5.62,0,10.2,,1994
Chad,,7.43,0,10.2,,1994
Channel Islands,,1.43,0,5.2,,1994
Chile,,2.31,65.6,8.58,,1994
China,,1.64,14.5,8,,1994
Colombia,,2.66,0,9.96,,1994
Comoros,,5.25,0,10.5,,1994
"Congo, Dem. Rep.",,7.18,0,10.1,,1994
"Congo, Rep.",,5.14,0,11.2,,1994
Cook Is,,,0,,,1994
Costa Rica,,2.82,89.1,9.19,,1994
Cote d'Ivoire,,6.06,0,10.9,,1994
Croatia,,1.52,18.8,6.47,,1994
Cuba,,1.64,0,6.93,,1994
Curaçao,,,,6.98,,1994
Cyprus,,2.12,13.3,7.34,,1994
Czech Republic,,1.39,23.9,8.18,,1994
Denmark,,1.81,8.3,5.93,,1994
Djibouti,,5.35,33,11.1,,1994
Dominica,,,54,,,1994
Dominican Republic,,3.13,0,10.7,,1994
Ecuador,,3.36,0,10.3,,1994
Egypt,,3.71,0,10.1,,1994
El Salvador,,3.58,113,10.3,,1994
Equatorial Guinea,,5.97,0,9.31,,1994
Eritrea,,5.91,0,10.3,,1994
Estonia,,1.43,38,6.3,,1994
Eswatini,,4.8,0,11.6,,1994
Ethiopia,,7,0,10.2,,1994
Faeroe Islands,,,22.2,,,1994
Falkland Is (Malvinas),,,0,,,1994
Fiji,,3.28,52.2,10.5,,1994
Finland,,1.81,9.8,6.11,,1994
France,,1.72,7.08,6.16,,1994
French Guiana,,4.03,0,9.19,,1994
French Polynesia,,2.84,0,9.38,,1994
Gabon,,5,0,9.86,,1994
Gambia,,6.04,0,9.65,,1994
Georgia,,1.88,64.2,7.53,,1994
Germany,,1.31,13,4.99,,1994
Ghana,,5.17,0,10.6,,1994
Gibraltar,,,32.9,,,1994
Greece,,1.37,13,7.22,,1994
Greenland,,2.51,74.2,,,1994
Grenada,,3.12,0,8.41,,1994
Guadeloupe,,2.07,0,8.75,,1994
Guam,,2.87,0,8.19,,1994
Guatemala,,5.09,119,11.2,,1994
Guinea,,6.39,0,9.94,,1994
Guinea-Bissau,,6.29,0,10.3,,1994
Guyana,,3.07,0,10.7,,1994
Haiti,,4.89,0,10.4,,1994
Honduras,,4.64,0,11.1,,1994
"Hong Kong, China",,1.16,5.9,6.34,,1994
Hungary,,1.56,30.3,7.76,,1994
Iceland,,2.13,23.4,7.75,,1994
India,,3.65,0,10.1,,1994
Indonesia,,2.69,0,10.6,,1994
Iran,,3.22,59,11.6,,1994
Iraq,,5.42,0,11.4,,1994
Ireland,,1.9,15.6,9.4,,1994
Israel,,2.92,18.6,8.93,,1994
Italy,,1.24,6.97,5.95,,1994
Jamaica,,2.77,0,9.71,,1994
Japan,,1.41,3.9,6.56,,1994
Jordan,,4.61,44.8,11.3,,1994
Kazakhstan,,2.24,50.8,8.55,,1994
Kenya,,5.46,0,11.5,,1994
Kiribati,,4.37,61,9.32,,1994
Kuwait,,2.72,31.4,8.07,,1994
Kyrgyz Republic,,3.3,54.5,9.47,,1994
Lao,,5.39,0,10.5,,1994
Latvia,,1.36,29.7,5.98,,1994
Lebanon,,2.62,0,10.4,,1994
Lesotho,,4.55,0,11.6,,1994
Liberia,,6.16,0,10.6,,1994
Libya,,3.64,0,12.3,,1994
Liechtenstein,,,9.3,,,1994
Lithuania,,1.64,40.8,6.54,,1994
Luxembourg,,1.71,10.6,5.24,,1994
"Macao, China",,1.24,7.5,6.25,,1994
Madagascar,,5.98,0,10.7,,1994
Malawi,,6.42,0,10.3,,1994
Malaysia,,3.31,17,9.85,,1994
Maldives,,4.3,60.2,10.5,,1994
Mali,,7.06,0,10.8,,1994
Malta,,1.97,10.3,7.36,,1994
Marshall Islands,,,105,,,1994
Martinique,,1.92,0,7.85,,1994
Mauritania,,5.77,0,10.8,,1994
Mauritius,,2.14,0,9.18,,1994
Mayotte,,5.08,0,11.3,,1994
Mexico,,3.02,0,10.9,,1994
"Micronesia, Fed. Sts.",,4.66,0,11.5,,1994
Moldova,,1.9,0,7.97,,1994
Mongolia,,2.74,0,10.8,,1994
Montenegro,,1.98,0,7.5,,1994
Montserrat,,,48.7,,,1994
Morocco,,3.3,25.2,10.7,,1994
Mozambique,,5.96,0,10.3,,1994
Myanmar,,3.04,0,10.8,,1994
Namibia,,4.59,0,11,,1994
Nauru,,,81.7,,,1994
Nepal,,4.72,0,10.3,,1994
Netherlands,,1.53,0,5.77,,1994
Netherlands Antilles,,2.2,0,,,1994
New Caledonia,,2.77,0,9.41,,1994
New Zealand,,2.11,33.4,7.17,,1994
Nicaragua,,3.78,148,11.3,,1994
Niger,,7.73,0,10.3,,1994
Nigeria,,6.26,0,10.7,,1994
Niue,,,0,,,1994
North Korea,,2.12,0,7.26,,1994
North Macedonia,,1.98,43.9,8.07,,1994
Northern Mariana Islands,,,89.5,,,1994
Norway,,1.87,13.5,5.96,,1994
Oman,,5.35,0,11.1,,1994
Pakistan,,5.34,0,10.1,,1994
Palau,,,78.9,,,1994
Palestine,,6.25,0,10.7,,1994
Panama,,2.85,0,10.2,,1994
Papua New Guinea,,4.67,0,10.9,,1994
Paraguay,,4.11,0,10.2,,1994
Peru,,3.32,0,10.3,,1994
Philippines,,4.01,0,10.5,,1994
Poland,,1.73,22.4,7.91,,1994
Portugal,,1.46,19.4,7.48,,1994
Puerto Rico,,2.09,74.8,8.66,,1994
Qatar,,3.59,0,8.2,,1994
Reunion,,2.34,38.9,8.95,,1994
Romania,,1.37,42.1,8.28,,1994
Russia,,1.34,43.9,6.73,,1994
Rwanda,,6.17,0,11.8,,1994
Samoa,,4.75,0,10.6,,1994
San Marino,,,3.6,,,1994
Sao Tome and Principe,,5.55,0,12.3,,1994
Saudi Arabia,,4.98,0,10.6,,1994
Senegal,,6,0,11,,1994
Serbia,,1.89,35,7.68,,1994
Seychelles,,2.35,59,9.93,,1994
Sierra Leone,,6.61,0,10.3,,1994
Singapore,,1.67,0,6.7,,1994
Slovak Republic,,1.63,32.4,8.5,,1994
Slovenia,,1.27,13.1,7.13,,1994
Solomon Islands,,5.2,95,11.7,,1994
Somalia,,7.65,0,9.92,,1994
South Africa,,3.11,0,10.1,,1994
South Korea,,1.62,0,8.54,,1994
South Sudan,,6.55,,10.2,,1994
Spain,,1.21,7.49,7.73,,1994
Sri Lanka,,2.29,0,9.95,,1994
St. Helena,,,0,,,1994
St. Kitts and Nevis,,,58.1,,,1994
St. Lucia,,2.89,90,9.43,,1994
St. Vincent and the Grenadines,,2.7,91.7,10.9,,1994
Sudan,,5.83,0,10.8,,1994
Suriname,,3.01,0,8.62,,1994
Sweden,,1.73,0,5.56,,1994
Switzerland,,1.52,5.47,5.38,,1994
Syria,,4.51,0,11.9,,1994
Taiwan,,1.78,17,9.48,,1994
Tajikistan,,4.59,0,10,,1994
Tanzania,,5.88,0,10.8,,1994
Thailand,,1.87,0,9.82,,1994
Timor-Leste,,6.38,0,8.11,,1994
Togo,,5.76,0,11.2,,1994
Tokelau,,,0,,,1994
Tonga,,4.45,0,10.6,,1994
Trinidad and Tobago,,1.96,42.7,9.57,,1994
Tunisia,,2.61,13.6,10.4,,1994
Turkey,,2.76,0,10.2,,1994
Turkmenistan,,3.51,0,10.1,,1994
Turks and Caicos Islands,,,0,,,1994
Tuvalu,,,19.1,,,1994
Uganda,,7.02,0,10.6,,1994
Ukraine,,1.41,54.8,6.75,,1994
United Arab Emirates,,3.42,0,9.21,,1994
United Kingdom,,1.76,28.5,5.63,,1994
United States,,1.98,56.6,6.59,,1994
Uruguay,,2.4,0,8.12,,1994
Uzbekistan,,3.53,58.7,9.92,,1994
Vanuatu,,4.73,0,10.3,,1994
Venezuela,,3.08,0,10.2,,1994
Vietnam,,2.71,35.6,9.95,,1994
Virgin Islands (U.S.),,2.48,0,7.45,,1994
Wallis et Futuna,,,0,,,1994
Western Sahara,,3.7,,10.4,,1994
Yemen,,7.53,0,9.96,,1994
Zambia,,6.19,0,11.3,,1994
Zimbabwe,,4.43,0,12.2,,1994
Afghanistan,,7.63,0,10.5,,1995
Albania,,2.51,24.8,9.2,,1995
Algeria,,3.21,0,11.7,,1995
American Samoa,,,51.9,,,1995
Andorra,,,0,,,1995
Angola,,6.85,0,10.6,,1995
Anguilla,,,50.6,,,1995
Antigua and Barbuda,,2.25,82.6,8.41,,1995
Argentina,,2.71,62.8,9.09,,1995
Armenia,,1.8,63.2,8.13,,1995
Aruba,,2.02,47.6,6.07,,1995
Australia,,1.81,20.1,6.72,,1995
Austria,,1.45,15.8,5.41,,1995
Azerbaijan,,2.45,35.2,8.59,,1995
Bahamas,,2.44,63.6,8.75,,1995
Bahrain,,3.01,20.6,8.78,,1995
Bangladesh,,3.6,0,11.2,,1995
Barbados,,1.73,0,7.1,,1995
Belarus,,1.4,36.9,6.9,,1995
Belgium,,1.61,10.1,5.67,,1995
Belize,,4.01,0,10.9,,1995
Benin,,6.28,0,10.2,,1995
Bermuda,,,37.2,,,1995
Bhutan,,4.4,0,10.8,,1995
Bolivia,,4.47,0,10.2,,1995
Bosnia and Herzegovina,,1.69,29.7,7.14,,1995
Botswana,,3.84,0,11.6,,1995
Brazil,,2.49,0,10,,1995
British Virgin Islands,,,0,,,1995
Brunei,,2.78,29.8,9.52,,1995
Bulgaria,,1.28,50.1,6.94,,1995
Burkina Faso,,6.8,139,10.7,,1995
Burundi,,7.24,0,10.4,,1995
Cambodia,,4.5,52,8.1,,1995
Cameroon,,5.89,0,10.6,,1995
Canada,,1.61,0,6.51,,1995
Cape Verde,,4.38,100,9.99,,1995
Cayman Islands,,,0,,,1995
Central African Republic,,5.59,0,10.3,,1995
Chad,,7.43,0,10.2,,1995
Channel Islands,,1.42,0,5.23,,1995
Chile,,2.27,66.1,8.49,,1995
China,,1.57,11.8,7.79,,1995
Colombia,,2.6,0,9.9,,1995
Comoros,,5.25,0,10.6,,1995
"Congo, Dem. Rep.",,7.15,0,10.1,,1995
"Congo, Rep.",,5.13,0,11.1,,1995
Cook Is,,,82,,,1995
Costa Rica,,2.74,86.8,9.3,,1995
Cote d'Ivoire,,5.99,0,10.9,,1995
Croatia,,1.51,19.9,6.47,,1995
Cuba,,1.64,0,6.61,,1995
Curaçao,,,,6.64,,1995
Cyprus,,2.04,11.4,7.53,,1995
Czech Republic,,1.3,18.9,7.94,,1995
Denmark,,1.75,8,5.73,,1995
Djibouti,,5.15,0,11.1,,1995
Dominica,,,0,,,1995
Dominican Republic,,3.07,0,10.6,,1995
Ecuador,,3.29,0,10.2,,1995
Egypt,,3.57,0,10.3,,1995
El Salvador,,3.48,118,10.1,,1995
Equatorial Guinea,,5.96,0,9.72,,1995
Eritrea,,5.79,0,10.7,,1995
Estonia,,1.38,36,6.38,,1995
Eswatini,,4.65,0,11.7,,1995
Ethiopia,,6.94,0,10.3,,1995
Faeroe Islands,,,16.5,,,1995
Falkland Is (Malvinas),,,0,,,1995
Fiji,,3.24,47.6,10.6,,1995
Finland,,1.76,9.8,6.15,,1995
France,,1.73,7.04,6.11,,1995
French Guiana,,4,103,8.94,,1995
French Polynesia,,2.75,0,9.19,,1995
Gabon,,4.9,0,9.95,,1995
Gambia,,6.02,0,9.76,,1995
Georgia,,1.81,59.7,7.53,,1995
Germany,,1.32,13.2,5.05,,1995
Ghana,,5.1,0,10.6,,1995
Gibraltar,,,21.8,,,1995
Greece,,1.36,12.2,7.12,,1995
Greenland,,2.49,82.4,,,1995
Grenada,,2.99,0,8.7,,1995
Guadeloupe,,2.08,0,8.2,,1995
Guam,,2.87,0,8.11,,1995
Guatemala,,4.99,121,11.2,,1995
Guinea,,6.33,0,9.98,,1995
Guinea-Bissau,,6.2,0,10.5,,1995
Guyana,,3.07,0,10.6,,1995
Haiti,,4.78,0,10.7,,1995
Honduras,,4.53,0,11.1,,1995
"Hong Kong, China",,1.12,5.7,6.51,,1995
Hungary,,1.49,28.2,7.55,,1995
Iceland,,2.1,22.1,7.69,,1995
India,,3.58,0,10.1,,1995
Indonesia,,2.63,0,10.6,,1995
Iran,,2.96,47.7,12,,1995
Iraq,,5.33,0,11.4,,1995
Ireland,,1.91,17.3,9.31,,1995
Israel,,2.92,18.4,8.86,,1995
Italy,,1.23,6.69,5.73,,1995
Jamaica,,2.74,0,9.6,,1995
Japan,,1.39,3.9,6.31,,1995
Jordan,,4.47,0,11.2,,1995
Kazakhstan,,2.13,45.3,8.61,,1995
Kenya,,5.4,0,11.6,,1995
Kiribati,,4.3,0,9.49,,1995
Kuwait,,2.8,31.7,8.32,,1995
Kyrgyz Republic,,3.16,53.1,9.6,,1995
Lao,,5.17,0,10.4,,1995
Latvia,,1.27,25.5,6.07,,1995
Lebanon,,2.54,0,10,,1995
Lesotho,,4.48,0,11.8,,1995
Liberia,,6.11,0,10.7,,1995
Libya,,3.44,0,12.2,,1995
Liechtenstein,,,9.3,,,1995
Lithuania,,1.57,37.9,6.5,,1995
Luxembourg,,1.72,9.9,5.27,,1995
"Macao, China",,1.18,5.8,6.54,,1995
Madagascar,,5.91,0,10.6,,1995
Malawi,,6.36,0,10.2,,1995
Malaysia,,3.24,17,9.85,,1995
Maldives,,3.98,54.8,10.8,,1995
Mali,,7.02,0,10.8,,1995
Malta,,1.93,16.8,7.36,,1995
Marshall Islands,,,0,,,1995
Martinique,,1.9,0,7.73,,1995
Mauritania,,5.7,0,10.8,,1995
Mauritius,,2.1,0,9.12,,1995
Mayotte,,5.04,117,11.4,,1995
Mexico,,2.95,0,10.7,,1995
"Micronesia, Fed. Sts.",,4.61,0,11.5,,1995
Moldova,,1.81,0,8.18,,1995
Mongolia,,2.57,0,10.8,,1995
Montenegro,,1.95,0,7.48,,1995
Montserrat,,,19.7,,,1995
Morocco,,3.16,32.2,10.8,,1995
Mozambique,,5.92,0,10.3,,1995
Myanmar,,2.99,28.2,10.8,,1995
Namibia,,4.47,0,11,,1995
Nauru,,,80.9,,,1995
Nepal,,4.6,0,10.4,,1995
Netherlands,,1.53,0,5.68,,1995
Netherlands Antilles,,2.17,0,,,1995
New Caledonia,,2.7,0,9.08,,1995
New Zealand,,2.07,33,6.94,,1995
Nicaragua,,3.62,139,11.4,,1995
Niger,,7.72,0,10.3,,1995
Nigeria,,6.22,0,10.8,,1995
Niue,,,0,,,1995
North Korea,,2.08,0,7.06,,1995
North Macedonia,,1.92,38.4,8.11,,1995
Northern Mariana Islands,,,66.5,,,1995
Norway,,1.89,13.5,5.83,,1995
Oman,,4.98,0,11.8,,1995
Pakistan,,5.2,0,10.2,,1995
Palau,,,69.3,,,1995
Palestine,,6.09,0,10.6,,1995
Panama,,2.83,0,10.1,,1995
Papua New Guinea,,4.65,0,10.8,,1995
Paraguay,,4.01,0,10.4,,1995
Peru,,3.23,0,10.2,,1995
Philippines,,3.96,0,10.5,,1995
Poland,,1.65,21.3,8.04,,1995
Portugal,,1.45,19.6,7.28,,1995
Puerto Rico,,2.05,76.8,8.45,,1995
Qatar,,3.53,26.1,8.74,,1995
Reunion,,2.33,35.6,8.74,,1995
Romania,,1.34,40.1,8.14,,1995
Russia,,1.27,37.8,6.9,,1995
Rwanda,,6.05,0,11.8,,1995
Samoa,,4.69,0,10.4,,1995
San Marino,,,0,,,1995
Sao Tome and Principe,,5.49,0,12.5,,1995
Saudi Arabia,,4.75,0,10.9,,1995
Senegal,,5.88,0,11,,1995
Serbia,,1.86,33,7.56,,1995
Seychelles,,2.28,63,9.84,,1995
